# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
30577	salesmarketmsk.ru
30633	soglasie.ru
30638	modulbank.ru
30656	smuzimaxi.ru
30683	kirlediuka.ru
30692	techinsider.ru
30728	sngb.ru
30730	sledcom.ru
30759	otclick.ru
30807	mtw.ru
30808	sfu-kras.ru
30819	lsr.ru
30849	infourok.ru
30858	rdb.ru
30861	q18.ru
30946	backorder.ru
30949	mtsdengi.ru
30954	setka.ru
30970	q-bid.ru
30971	bobdaytech.ru
30979	mlg.ru
30980	kdvm.ru
31010	fragrantica.ru
31040	yastatic-net.ru
31058	tomica.ru
31095	sberhealth.ru
31145	cybersport.ru
31146	zdravcity.ru
31196	kubnews.ru
31206	onlinetrade.ru
31215	officemag.ru
31221	omk.ru
31230	cnii-volna.ru
31231	regruhosting.ru
31233	stream.ru
31234	b17.ru
31235	uralsib.ru
31237	qsolution.ru
31254	ofd-ya.ru
31259	smart-lab.ru
31278	egov66.ru
31302	sidorovcloud.ru
31326	sbermegamarket.ru
31346	mtdata.ru
31353	nsk.su
31361	conhos.ru
31409	phoenixit.ru
31437	nebusfinance.ru
31438	highalanfull.ru
31472	konaman.ru
31497	direct-credit.ru
31505	hhcdn.ru
31532	ssfm.ru
31535	dsp-rambler.ru
31569	bkfortuna.ru
31577	gemotest.ru
31618	chat.ru
31627	nm.ru
31640	fciit.ru
31684	ticketland.ru
31687	salsalpolox.ru
31707	onpbx.ru
31743	adserving.ru
31751	uralschool.ru
31767	emex.ru
31786	zarplata.ru
31814	tsum.ru
31816	getbb.ru
31841	service-online.su
31854	grampus-server.ru
31859	eldorado.ru
31866	citkuban.ru
31878	talantiuspeh.ru
31899	isse-russia.ru
31905	tophotels.ru
31978	ficto.ru
31995	fss.ru
32001	orel.ru
32011	sttsmntz.ru
32031	chitai-gorod.ru
32041	altabank.ru
32082	bunkr.ru
32128	pravmir.ru
32145	pari.ru
32148	bicotender.ru
32206	msudrf.ru
32218	vetrf.ru
32253	mccme.ru
32267	yamallng.ru
32296	amdm.ru
32345	fsrar.ru
32368	skillbox.ru
32374	odkl.ru
32389	mininform-nnov.ru
32411	14emeliaterracewestroxburyma02132.su
32413	aismo.ru
32467	sovsport.ru
32470	sletat.ru
32479	ixora.ru
32483	www1.ru
32498	patriarchia.ru
32682	sberfactoring.ru
32708	taximaster.ru
32710	avp.ru
32713	mirdomovyat.ru
32714	newizv.ru
32737	n3health.ru
32772	openhd.ru
32774	dadata.ru
32794	school4-dinsk.ru
32804	ingate.ru
32817	puls.ru
32842	orionnet.ru
32854	av.ru
32869	europeanbc.ru
32891	triumvirat.ru
32910	chipdip.ru
32936	bookmaker-ratings.ru
32939	hosted-by-vdsina.ru
32977	rt-dc.ru
33042	lite-host.su
33081	essencedrive.su
33104	armtek.ru
33105	flypobeda.ru
33115	zhky.ru
33131	edusite.ru
33193	statad.ru
33204	rmdsp.ru
33207	nskeeper.ru
33211	rusneb.ru
33222	tinkoffjournal.ru
33226	copycon.ru
33236	kentek.ru
33305	major-design.ru
33314	uralsbyt.ru
33322	pfrf.ru
33339	lynxoft.ru
33370	fabit.ru
33400	cse.ru
33405	slb.ru
33407	mskobr.ru
33410	spletnik.ru
33435	argo-net.su
33446	suprion.ru
33506	gov39.ru
33513	gks.ru
33538	umi.ru
33546	websender.ru
33551	glonasssoft.ru
33601	tverreg.ru
33602	soccer.ru
33617	reso.ru
33624	listbb.ru
33639	ooonet.ru
33688	m2b-log.ru
33717	fl.ru
33719	bazr.ru
33721	ultrastar.ru
33759	krskstate.ru
33763	unirusgroup.ru
33798	rambler-co.ru
33805	babyblog.ru
33813	ruskline.ru
33819	rendez-vous.ru
33840	pwrs.ru
33863	sberclass.ru
33894	kdmid.ru
33935	astral.ru
33949	teamo.ru
33951	san.ru
33956	ptvr.ru
33991	webim2.ru
34028	zcdn.ru
34034	phoenix-dnr.ru
34050	rl0.ru
34068	bookmate.ru
34126	pulscen.ru
34222	ispring.ru
34241	zaoshang.ru
34246	jftechws.ru
34270	tais.ru
34291	ruvr.ru
34315	apteka-april.ru
34358	rwsh.ru
34367	progorod43.ru
34368	chita.ru
34383	poryadok.ru
34399	plusofon.ru
34405	icmdb.ru
34406	sci-hub.ru
34424	msu.su
34434	digift.ru
34447	admile.ru
34496	premierzal.ru
34577	mpei.ru
34603	calend.ru
34652	vps-server.ru
34708	eurobyte.ru
34715	prufy.ru
34725	gcom.ru
34741	wi-fi.ru
34752	pr-cy.ru
34772	srg-it.ru
34775	demts.ru
34776	muztorg.ru
34824	wazzup24.ru
34837	flnet.su
34850	qip.ru
34906	autocrm.ru
34918	wbpay.ru
34942	betcity24.ru
34970	sistyle.ru
35010	minfin.ru
35015	ellco.ru
35021	7gis.ru
35028	robokassa.ru
35046	nextrp.ru
35070	regions.ru
35077	rsv.ru
35106	tilda.ru
35157	gkdionis.ru
35163	ru.ru
35170	elpts.ru
35208	getads.ru
35226	shinservice.ru
35302	biglion.ru
35304	systeme.ru
35307	rfs.ru
35311	clinica-plus.ru
35317	voxys.ru
35347	domrfbank.ru
35349	initpro.ru
35363	agropoliya.ru
35387	syncweb.ru
35395	oblakoteka.ru
35425	tenchat.ru
35486	allcafe.ru
35499	telekom.ru
35508	tinsurance.ru
35527	capycore.ru
35576	opennet.ru
35583	iconsoft.ru
35600	pinterest.ru
35621	maximonline.ru
35673	nichost.ru
35675	sndsy.ru
35676	baz-on3.ru
35707	lockobank.ru
35714	jehost.ru
35716	pg21.ru
35738	ageroyx.ru
35748	mosgorzdrav.ru
35799	clodo.ru
35801	rwb.ru
35804	fsb.ru
35805	dholding.ru
35812	wibes.ru
35829	infolink.ru
35854	ymdxm3qa9p.ru
35862	kpfu.ru
35870	design.ru
35904	wb-bank.ru
35909	zxz.su
35926	locotech.ru
35952	planetazdorovo.ru
35962	alregn.ru
35978	vnukovo.ru
36044	sbdv.ru
36055	ak-core.ru
36066	reconn.ru
36077	forumhouse.ru
36102	sura.ru
36122	netsol.su
36127	mws.ru
36240	manzanagroup.ru
36242	xn--80aapampemcchfmo7a3c9ehj.xn--p1ai
36323	intellin-tech.ru
36346	agregatoreat.ru
36418	askona.ru
36422	misis.ru
36536	gamenet.ru
36544	prodmp.ru
36548	rivegauche.ru
36616	beehidden.ru
36624	podolsknet.ru
36674	edu.ru
36689	internetid.ru
36692	itecorp.ru
36736	advideo.ru
36739	bgoperator.ru
36742	teletarget.ru
36782	leon.ru
36820	androeed.ru
36827	qms.ru
36892	alfacapital.ru
36894	r-ulybka.ru
36944	rinet.ru
36991	astrobl.ru
36999	lipetsk.ru
37023	afftech.ru
37043	gost.ru
37145	artlebedev.ru
37165	mybusiness38.ru
37193	avtovokzaly.ru
37238	sberbank-ast.ru
37250	mgimo.ru
37251	vertikal-net.ru
37264	killbot.ru
37347	sgu.ru
37349	reginc.ru
37361	starateli.ru
37375	fedpress.ru
37419	medsigroup.ru
37481	holyworld.ru
37511	list.ru
37570	betcitybk.ru
37593	tradedealer.ru
37607	rb.ru
37609	gdemoi.ru
37619	pravoslavnye.ru
37641	maria-ra.ru
37660	cosmosgroup.ru
37667	andata.ru
37703	hostline.ru
37704	siteholder.ru
37718	applepie-recipe.ru
37723	rbauto.ru
37749	gramota.ru
37754	bankline.ru
37758	businessstudio.ru
37777	rulive.ru
37781	finnautoparts.ru
37830	big3.ru
37854	110km.ru
37874	sigma.ru
37878	gmonit.ru
37882	100sp.ru
37883	subv.ru
37897	74.ru
37949	smotriege.ru
38011	taxivse.ru
38027	igromania.ru
38075	nash-dom2.su
38096	asburo.ru
38109	mybb.ru
38137	itlab73.ru
38186	n1.ru
38201	iitrust.ru
38214	srvrsdns.ru
38234	stc-groups.ru
38243	zin.ru
38250	artnow.ru
38299	tdera.ru
38355	kaiten.ru
38416	oisrf.ru
38425	airnet.ru
38428	maxnet.ru
38464	anekdot.ru
38481	znanierussia.ru
38524	comss.ru
38529	svk-native.ru
38532	tatenergo.ru
38564	turizm.ru
38591	flex.ru
38593	docker.ru
38611	iikoweb.ru
38639	domainparking.ru
38652	online-express.ru
38675	ymjkjrm98m.ru
38720	dlink.ru
38723	jinr.ru
38737	vtb24.ru
38794	labsystech.ru
38798	foxford.ru
38841	rtlabs.ru
38846	yookassa.ru
38870	kodeks.ru
38981	ao-esp.ru
39021	webzavod.ru
39035	mscs.ru
39070	eurochem.ru
39108	bazookavpn.ru
39116	tpprf.ru
39117	ifedata.ru
39118	lognex.ru
39119	autorus.ru
39138	zao-agrokomplex.ru
39163	asu.ru
39243	hc.ru
39273	apiauto.ru
39283	dxbx.ru
39284	azimut.ru
39294	pizzasoft.ru
39328	krasnodar.ru
39369	sk.ru
39378	ttarget.ru
39393	securitm.ru
39406	aptechestvo.ru
39425	ustaliy.ru
39436	metaratings.ru
39449	sudact.ru
39489	intourist.ru
39493	global-x.ru
39506	infostart.ru
39552	korabli.su
39619	gpbl.ru
39649	readone.ru
39766	vm.ru
39773	primamedia.ru
39789	fedresurs.ru
39797	sbercity.ru
39819	stopgame.ru
39826	tlauncher.ru
39859	netbynet.ru
39879	alarmtrade.ru
39885	risp.ru
39891	hldns.ru
39895	uralairlines.ru
39897	expired.ru
39905	eg.ru
39948	muzkult.ru
39960	skrinshoter.ru
40007	unmixed.ru
40018	vsemayki.ru
40022	gdeslon.ru
40024	myarena.ru
40036	it-lite.ru
40073	nashvybor2021.ru
40084	invbox.ru
40098	cleverence.ru
40110	lightsoft.ru
40113	itp-forum.ru
40117	fiord.ru
40141	msk-ix.ru
40146	vcmk.ru
40159	omnidesk.ru
40189	alfaleasing.ru
40205	forconect.ru
40211	mylove.ru
40216	berg.ru
40244	cdns.su
40262	motiw.ru
40266	best-hosting.ru
40276	collector.ru
40278	rrv.ru
40281	open.ru
40283	astv.ru
40293	miko.ru
40322	uralweb.ru
40327	dasreda.ru
40328	snsv.ru
40343	2ch.su
40353	bestchange.ru
40367	etersoft.ru
40427	peterhost.ru
40450	adme.ru
40474	salutejazz.ru
40478	techdsp.ru
40493	legioncom.ru
40504	rostrud.ru
40550	inprotect.ru
40575	pruffme.ru
40588	stanford.ru
40626	wotpack.ru
40648	ecco.ru
40653	blablacar.ru
40666	yowindow.ru
40723	without.ru
40749	mobilon.ru
40818	nsportal.ru
40850	billingonline.ru
40862	jobfilter.ru
40864	ab-ct.ru
40875	edadeal.ru
40888	amic.ru
40911	tourister.ru
40933	kktlab.ru
41084	ucheba.ru
41091	ifmo.ru
41142	fishcloud.ru
41234	snparking.ru
41289	webnames.ru
41401	mind-hunter.ru
41419	gov-murman.ru
41426	teleproxy.ru
41436	tech-naumovfq.ru
41437	spark-rostov.ru
41462	rtcomm.ru
41486	gamegrow.ru
41591	by.ru
41622	infox.ru
41654	mgsu.ru
41687	vidal.ru
41690	fantlab.ru
41705	stark-it.ru
41787	leroymerlin.ru
41807	el5-energo.ru
41837	comcor.ru
41899	avto.ru
41913	paymo.ru
41925	emk.ru
41927	u-mama.ru
41963	atorus.ru
41981	ahml.ru
41999	otr-online.ru
42039	nrservice.ru
42076	etpgpb.ru
42089	avtodor-tr.ru
42092	atsaero.ru
42095	rkomi.ru
42104	concept7.ru
42166	hhdev.ru
42177	itdemon.ru
42191	cms-hosting.ru
42227	agrohold.ru
42286	dreamjob.ru
42304	anketolog.ru
42369	scloud.ru
42371	eda1.ru
42412	rightarion.ru
42433	rostgroup.ru
42466	rmm9.ru
42501	alltime.ru
42527	platformalp.ru
42565	tendence.ru
42583	justclick.ru
42608	vsw.ru
42612	drp.su
42727	tvrain.ru
42749	ats-telecom.ru
42760	joxnet.ru
42790	liveresult.ru
42799	convex.ru
42832	mcgrp.ru
42835	freshauto.ru
42843	sistema.ru
42856	okdesk.ru
42857	eksmo.ru
42866	pkbonline.ru
42888	dikidi.ru
42917	checko.ru
42931	mob-edu.ru
42943	clz.ru
42953	diary.ru
43054	sibur.ru
43102	infoclinica.ru
43104	miranda-media.ru
43114	winlinebet.ru
43135	ym68ejbdzn.ru
43171	avangard.ru
43200	cleversite.ru
43222	klops.ru
43263	ic-group.ru
43280	yito.ru
43283	gardatech.ru
43303	domainseller.ru
43344	dkc.ru
43353	ucs.ru
43367	msk1.ru
43386	ddxfitness.ru
43485	geohide.ru
43512	ugmk-telecom.ru
43514	alexunderboots.ru
43527	winestyle.ru
43562	stolichki.ru
43587	nplus1.ru
43623	minivk.ru
43633	okmp3.ru
43657	pravo.ru
43702	dns-diplom.ru
43710	acomics.ru
43776	rea.ru
43791	kzn.ru
43805	sirus.su
43808	mailop.ru
43846	resanta.ru
43863	ectostroy.ru
43865	transfiles.ru
43881	sbermarket.ru
43887	amediateka.ru
43889	dolyame.ru
43890	povar.ru
43900	bristol.ru
43912	price.ru
43947	sirena-travel.ru
43950	vsrobotics.ru
43955	m2.ru
44012	vsembed.ru
44028	metwell.ru
44061	bl62.ru
44087	verme.ru
44142	avtoto.ru
44184	gcore.ru
44198	agava.ru
44290	mos-gorsud.ru
44316	elcom.ru
44338	yzewe.ru
44365	orenobl.ru
44391	unisender.ru
44460	svetoch-opk.ru
44469	diasoft.ru
44470	vbglenobl.ru
44482	rb1rm.ru
44510	donland.ru
44541	instaninna.ru
44544	mathnet.ru
44550	lenobl.ru
44552	cheby.ru
44588	servers.ru
44596	idaprikol.ru
44598	marathonbet.ru
44611	boxberry.ru
44623	litebox.ru
44638	sibirix.ru
44640	4game.ru
44678	gitverse.ru
44694	fozzy.ru
44708	alp.ru
44713	pac.ru
44722	tk-kit.ru
44737	minsvyaz.ru
44775	metromax.ru
44787	rusagrogroup.ru
44812	misupport.ru
44864	globus.ru
44922	corpsoft24.ru
44933	radiorecord.ru
44954	express-shina.ru
44958	reallyworld.ru
44976	comstar.ru
44980	gibdd.ru
45003	argumenti.ru
45019	wciom.ru
45076	vaseline.su
45097	elcode.ru
45103	click.ru
45106	privateperson.ru
45202	domashniy.ru
45283	miramiyujmo.ru
45318	grattis.ru
45336	i-novus.ru
45377	fms-udm.ru
45384	gounn.ru
45427	technoserv.ru
45448	pravdnr.ru
45449	6ahddutb1ucc3cp.ru
45488	oplata.ru
45502	medsi.ru
45518	solverweb.ru
45535	tnt-online.ru
45538	movix.ru
45627	moe-online.ru
45650	mzsakha.ru
45722	streamgo.ru
45771	utcorp.ru
45778	rlisystems.ru
45802	mv.ru
45834	vsk.ru
45845	fssoft.ru
45862	stparts.ru
45928	audit-it.ru
46027	fitauto.ru
46031	ovkuse.ru
46056	parts-soft.ru
46093	grfc.ru
46099	netrack.ru
46117	s3-rus.ru
46135	pr-lg.ru
46140	arriah.ru
46155	transitcard.ru
46166	citydrive.ru
46178	softonic.ru
46227	sevastopol.su
46248	povarenok.ru
46266	security-sbrf.ru
46274	domrf.ru
46292	miranimbus.ru
46354	asi.ru
46427	rusfishing.ru
46489	burmed.ru
46528	mrsu.ru
46602	utro.ru
46605	akron-holding.ru
46694	anketka.ru
46823	computerra.ru
46826	flamp.ru
46894	crrpay.ru
46924	datago.ru
46934	teleos.ru
47014	ipipe.ru
47047	uralmash.ru
47066	teslatel.ru
47072	kant.ru
47082	ykt.ru
47103	samsonopt.ru
47112	kefirgames.ru
47130	lada.ru
47146	dns-root.ru
47147	susu.ru
47181	cdnrtbsape.ru
47183	russights.ru
47189	rustt.ru
47217	tvc.ru
47316	1sept.ru
47341	agroeco.ru
47366	trustpool.ru
47368	santehnika-online.ru
47391	chilbi.ru
47436	gpm-ssp.ru
47445	rusvesna.su
47469	72.ru
47490	xn--80aaf4afvkjgic0i.xn--p1ai
47525	primorsky.ru
47582	joblab.ru
47607	mkrf.ru
47655	midural.ru
47668	aerstal.ru
47771	museum.ru
47800	spark.ru
47802	twinby.ru
47897	goodgame.ru
47975	ukraina.ru
47978	f1news.ru
47994	2090000.ru
47998	ksmn-myski.ru
48004	superkassa.ru
48016	cpx.ru
48045	otr.ru
48055	school60br.ru
48091	bcs-express.ru
48103	riamediabank.ru
48107	yuz.ru
48128	naukatech.ru
48131	kinoplan24.ru
48155	pinspb.ru
48228	time-messenger.ru
48249	i9dhjx.ru
48250	shazoo.ru
48260	lacerta.ru
48264	segmenta.ru
48269	rbldns.ru
48275	webhost1.ru
48290	autonews.ru
48292	tusur.ru
48315	xn--80akicokc0aablc.xn--p1ai
48328	zaymer.ru
48345	ncnet.ru
48367	iphones.ru
48402	sportsdzen.ru
48441	pyn.ru
48459	bankiros.ru
48501	tstu.ru
48506	tlgrm.ru
48536	nbki.ru
48547	dreamkas.ru
48578	erzrf.ru
48588	russoutdoor.ru
48602	colizeumarena.ru
48610	sarky.ru
48614	mts-cdn.ru
48616	pravilamag.ru
48635	omskportal.ru
48672	npfalliance.ru
48719	tu-tu.ru
48732	qy0.ru
48735	glavkniga.ru
48752	carbonsoft.ru
48776	fssprus.ru
48781	belkacar.ru
48813	rappro.ru
48840	bombardir.ru
48916	cishost.ru
49077	bit-live.ru
49145	govvrn.ru
49177	redcom.ru
49202	etm.ru
49206	rncb.ru
49219	i7.ru
49228	nsd.ru
49239	gitflic.ru
49260	localdev.ru
49315	libcat.ru
49339	vostok-electra.ru
49355	mediametrics.ru
49361	brokerkf.ru
49364	projservices.ru
49390	e-mordovia.ru
49397	caravan.ru
49401	gogov.ru
49415	ipv6tracker.ru
49422	compumir.ru
49426	cinelab.ru
49450	fishserver.ru
49515	sport.ru
49518	bigpicture.ru
49547	finuslugi.ru
49580	nkj.ru
49582	titan2.ru
49611	ofd-magnit.ru
49612	atlex.ru
49613	countrycom.ru
49655	blizko.ru
49722	topcor.ru
49758	nlr.ru
49839	mastertel.ru
49892	i-free.ru
49912	lgz.ru
49920	promportal.su
49932	berliz15.ru
49945	kinoteatr.ru
49952	profintel.ru
