# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
6964	tmweb.ru
7007	kino-teatr.ru
7008	solidbroker.ru
7043	emgsound.ru
7163	gov.ru
7170	rosneft.ru
7181	mrgcdn.ru
7192	prodoctorov.ru
7212	smartape.ru
7232	cloud.ru
7312	aniwaves.ru
7329	mediavitrina.ru
7355	yadro.ru
7369	1cbit.ru
7394	clck.ru
7458	mts-nn.ru
7477	adtec.ru
7484	dbankcdn.ru
7510	playnewgames.ru
7518	ngenix-dns.ru
7565	tele2.ru
7567	moneta.ru
7579	bk6bba-resources.ru
7594	galaxydata.ru
7669	heroeswm.ru
7685	xbox-dns.ru
7687	opendsp.ru
7708	t-static.ru
7734	jet.su
7751	iamcook.ru
7765	soccer365.ru
7773	yuga.ru
7788	keenetic.ru
7802	fastpic.ru
7803	linkssp.ru
7806	paykeeper.ru
7827	kazanexpress.ru
7889	mpsuadv.ru
7904	egais.ru
7947	domclick.ru
7967	championat.ru
8000	novotelecom.ru
8109	minecraft-inside.ru
8172	forbes.ru
8227	beta-bank.ru
8277	litmarket.ru
8421	majordomo.ru
8457	popcornnews.ru
8489	wartank.ru
8606	r-line.ru
8721	uchi.ru
8785	yoomoney.ru
8808	sefan.ru
8867	sbrf.ru
8883	skbkontur.ru
8896	evotor.ru
8969	sinn.ru
8984	airee.ru
9033	hibiny.ru
9035	network-lc.ru
9038	litgorod.ru
9209	lesta.ru
9238	avidreaders.ru
9251	ngs.ru
9253	corppn.ru
9462	litboom.ru
9542	facct.ru
9625	s7.ru
9706	avsee.ru
9709	gpb.ru
9841	ruso-turist.ru
9912	mil.ru
9982	playwekings.ru
9991	mir-chitki.ru
10003	megoplan.ru
10113	t-bank-app.su
10145	livetex.ru
10147	retailrocket.ru
10286	1gb.ru
10289	dtln.ru
10295	fr.ru
10322	huawei.ru
10424	getcourse.ru
10437	rees46.ru
10439	udmr.ru
10452	pravda.ru
10460	host-food.ru
10478	klerk.ru
10564	o3t.ru
10581	amurobl.ru
10602	gid.ru
10622	rp5.ru
10665	qqq-ttss.su
10674	omni.ru
10689	sutochno.ru
10697	myinsales.ru
10736	hsmedia.ru
10828	sport-express.ru
10838	megagroup.ru
10842	kmv.ru
10848	nso.ru
10849	gnezdo.ru
10851	mchs.ru
10891	bki-okb.ru
10904	ingos.ru
10983	nsc.ru
10984	akbars.ru
11043	tekta.ru
11123	tomsk.ru
11162	ftc.ru
11175	crazedns.ru
11192	masterhost.ru
11232	tradesoft.ru
11243	openssp.ru
11251	huntflow.ru
11275	tmiaf.ru
11290	hostland.ru
11360	studilka.ru
11370	profinance.ru
11409	lenreg.ru
11469	mamba.ru
11490	mosreg.ru
11545	b2b-center.ru
11547	calltouch.ru
11570	sputnik.ru
11573	dsname.ru
11579	naumen.ru
11581	fontanka.ru
11610	e1.ru
11630	tiwar.ru
11637	com.ru
11653	er.ru
11677	q0.ru
11687	uiscom.ru
11712	edgedns.ru
11821	croc.ru
11831	3dnews.ru
11866	rospotrebnadzor.ru
11867	tanki.su
